,A1,A10,A2,A3,A4,A5,A6,A7,A8,A9,C1,C10,C2,C3,C4,C5,C6,C7,C8,C9,E1,E10,E2,E3,E4,E5,E6,E7,E8,E9,N1,N10,N2,N3,N4,N5,N6,N7,N8,N9,O1,O10,O2,O3,O4,O5,O6,O7,O8,O9,age,country,engnat,gender,hand,race,source
12751,3,3,4,2,4,3,4,3,4,3,1,3,3,3,4,1,4,2,4,1,2,5,4,3,4,2,4,3,4,2,4,5,2,4,1,4,3,2,2,3,5,2,1,4,2,2,2,4,4,5,65,GB,1,2,1,3,1
12752,1,5,1,2,5,1,4,2,4,5,3,3,5,2,3,1,4,2,4,1,4,1,1,5,2,5,2,4,2,4,3,4,3,4,1,3,3,3,4,4,4,4,3,3,1,4,2,3,4,4,46,US,1,2,1,13,2
12753,1,5,4,3,5,2,5,1,4,5,4,3,2,3,2,2,3,3,1,3,3,3,2,4,1,4,2,3,3,3,3,3,1,4,4,3,4,3,3,4,5,4,1,5,2,5,1,5,4,4,52,US,1,2,1,3,1
12754,3,5,5,2,4,4,4,1,3,4,2,5,3,4,4,4,3,4,2,4,4,2,2,4,3,4,2,4,2,4,4,4,3,5,3,4,5,4,4,2,3,4,4,4,2,5,2,4,2,4,21,GB,2,1,1,3,1
12755,1,3,4,1,5,1,3,2,4,5,5,2,4,5,2,4,4,5,1,5,4,2,1,5,2,5,1,5,3,5,4,2,4,5,3,3,2,1,1,4,1,4,2,5,4,2,5,5,2,5,18,US,1,2,1,6,1
12756,1,5,4,1,5,1,5,1,5,4,4,4,1,5,2,4,1,5,1,4,4,2,1,4,1,4,2,4,2,3,2,1,4,2,5,1,1,1,1,2,5,5,1,5,1,4,1,5,4,4,54,US,1,2,1,3,1
12757,1,3,5,3,5,1,4,1,4,5,4,4,2,4,3,4,1,3,1,4,4,2,2,4,3,5,2,4,3,4,3,4,3,4,2,2,3,3,2,3,5,5,1,5,1,4,1,4,5,4,32,US,1,2,1,3,5
12758,2,3,5,2,4,3,4,2,3,4,2,3,4,3,2,2,5,2,3,2,3,4,2,4,4,4,2,4,4,4,4,2,4,4,3,4,4,3,2,3,3,4,2,4,2,4,2,4,2,4,20,NZ,1,1,1,3,1
12759,2,4,3,1,4,2,3,2,4,3,4,4,3,4,3,3,2,4,2,4,3,2,3,5,4,5,2,4,4,3,4,4,3,4,1,4,2,4,3,4,3,5,3,4,2,5,2,4,2,4,18,US,1,2,1,3,5
12760,3,1,3,1,2,5,4,5,2,3,5,5,1,5,1,5,5,5,1,4,3,3,3,2,2,2,2,1,3,5,4,5,1,5,5,4,5,5,5,4,5,5,1,5,1,5,1,5,5,5,36,RS,2,1,1,3,1
12761,1,3,4,2,4,2,3,2,4,4,2,4,4,4,4,2,4,4,2,4,1,4,2,2,4,4,3,2,4,1,4,4,2,5,2,4,3,2,1,2,3,3,2,4,1,3,2,4,4,4,56,GB,1,2,1,3,1
12762,1,5,5,1,5,5,5,1,5,5,4,5,1,5,1,4,5,4,2,5,5,1,1,5,1,5,1,5,3,5,4,1,3,5,4,3,2,2,2,2,3,4,2,3,2,4,2,4,3,5,21,US,1,2,1,1,2
12763,1,4,5,3,3,2,5,1,4,2,2,1,3,1,4,1,3,2,4,2,5,3,1,2,1,2,4,5,1,5,5,3,3,5,3,5,5,3,4,4,3,4,4,5,4,3,1,3,3,4,19,US,1,2,1,3,1
12764,1,4,3,1,5,1,5,1,5,5,5,5,1,3,1,5,1,5,3,5,1,5,1,1,5,2,3,1,2,3,4,3,3,5,3,1,3,4,3,5,2,4,3,3,3,4,1,3,3,3,27,US,1,2,1,3,1
12765,1,5,5,1,5,1,3,1,5,4,5,5,1,5,1,5,1,5,1,5,4,2,1,5,1,5,1,5,2,3,3,2,5,1,5,1,2,2,2,2,4,5,1,5,3,5,1,5,4,5,20,CA,1,1,1,1,2
12766,2,3,3,1,3,3,4,3,4,4,3,4,2,3,2,5,3,4,2,4,4,3,3,2,3,3,2,2,2,3,4,5,2,5,5,4,4,5,5,4,3,5,3,5,2,4,5,4,3,3,18,US,1,2,1,3,5
12767,1,3,5,3,4,1,4,1,3,4,3,4,4,4,4,2,4,3,3,2,2,4,4,3,3,3,2,1,3,4,4,4,2,4,2,2,2,3,3,2,4,4,1,5,1,4,2,5,4,5,25,US,1,2,1,3,1
12768,1,3,5,2,5,1,5,1,5,3,3,4,3,4,5,2,1,3,3,2,3,5,2,5,2,5,1,5,5,3,5,3,3,4,4,3,3,3,1,3,3,3,3,4,3,3,3,2,3,4,18,US,1,2,1,6,5
12769,2,1,2,1,1,1,5,3,5,2,4,5,1,5,5,4,1,5,2,5,1,3,3,2,5,1,1,1,5,2,5,5,1,5,5,2,5,5,5,5,4,4,3,1,3,2,5,5,5,5,15,GB,2,2,1,13,1
12770,5,5,5,1,5,1,5,1,5,5,4,5,3,5,2,4,2,4,1,2,1,1,2,5,3,5,1,4,4,4,1,1,2,2,2,1,1,4,2,3,4,4,1,2,1,5,2,5,5,5,37,US,1,2,1,3,2
12771,1,5,5,1,4,1,3,1,5,4,3,4,4,5,2,1,5,2,3,2,2,3,3,5,2,4,3,5,3,4,1,1,5,1,5,2,2,1,1,1,4,4,1,5,1,4,1,4,3,5,20,ZA,1,2,2,3,2
12772,1,5,5,2,5,1,5,1,4,5,4,3,3,4,2,2,2,3,1,3,4,4,2,5,2,4,1,4,4,4,4,2,2,4,3,2,3,4,3,3,5,4,2,4,2,4,2,5,5,5,28,CA,1,2,1,3,2
12773,3,1,3,4,2,3,1,2,3,4,4,4,1,5,1,3,1,5,2,4,1,5,3,2,3,1,3,1,5,2,4,3,3,5,3,2,2,3,2,5,4,4,4,3,1,3,2,5,3,3,15,GB,1,2,1,3,1
12774,3,3,3,1,3,3,3,2,2,3,4,4,4,3,2,2,4,2,3,3,2,4,3,3,3,2,3,2,3,4,2,2,4,2,5,3,1,2,1,1,4,5,3,5,2,4,1,3,4,2,17,GB,1,2,1,3,1
