,A1,A10,A2,A3,A4,A5,A6,A7,A8,A9,C1,C10,C2,C3,C4,C5,C6,C7,C8,C9,E1,E10,E2,E3,E4,E5,E6,E7,E8,E9,N1,N10,N2,N3,N4,N5,N6,N7,N8,N9,O1,O10,O2,O3,O4,O5,O6,O7,O8,O9,age,country,engnat,gender,hand,race,source
0,1,5,5,1,5,2,3,1,5,4,4,5,1,5,1,5,1,4,1,4,4,1,2,5,2,5,1,4,3,5,1,1,5,2,5,1,1,1,1,1,4,5,1,3,1,5,1,4,2,5,53,US,1,1,1,3,1
1,1,3,3,3,4,4,4,2,3,4,4,4,1,3,2,3,1,5,1,4,2,5,2,3,3,3,3,1,5,1,2,4,3,4,2,3,4,3,2,2,3,2,3,3,3,2,3,3,1,3,46,US,1,2,1,13,1
2,5,5,1,5,5,1,5,1,5,5,4,5,1,5,1,5,1,5,1,5,5,1,1,1,4,5,1,1,5,5,5,5,1,5,5,5,5,5,5,5,4,5,5,5,1,5,1,5,5,5,14,PK,2,2,1,1,1
3,2,3,5,4,4,3,5,3,4,4,3,3,3,4,5,1,4,5,4,2,2,5,5,2,4,3,4,3,4,4,5,5,4,4,2,4,5,5,5,4,4,5,3,5,2,4,2,5,2,5,19,RO,2,2,1,3,1
4,5,5,5,3,5,1,5,1,5,5,3,3,1,5,3,3,1,1,3,3,3,5,1,3,3,3,1,3,1,3,3,4,3,3,4,3,3,3,3,3,3,3,1,1,1,3,1,3,1,5,25,US,2,2,1,11,2
5,2,3,2,3,4,3,4,3,5,5,2,3,5,4,3,3,4,5,3,5,1,5,5,2,4,1,3,2,4,1,1,2,5,4,5,1,4,4,1,5,4,3,2,1,3,3,5,5,4,5,31,US,1,2,1,13,2
6,5,5,5,1,5,1,5,1,5,4,2,3,4,3,3,3,3,3,3,3,5,1,1,5,1,5,1,5,4,4,2,2,4,2,4,2,2,3,2,2,3,4,1,5,1,4,1,4,3,3,20,US,1,2,1,5,5
7,2,5,5,1,4,3,3,1,3,4,4,5,2,5,1,4,1,4,1,3,4,3,3,5,3,5,1,4,3,4,1,1,4,4,4,1,1,1,1,1,3,5,1,5,1,4,1,5,3,2,23,IN,2,1,1,4,2
8,1,4,5,1,5,1,5,1,5,5,4,3,3,5,2,5,2,5,2,4,3,3,1,5,1,5,1,5,2,5,2,3,4,5,3,3,5,5,4,3,3,5,3,5,3,5,1,5,3,4,39,US,1,2,3,5,4
9,2,2,3,1,4,2,4,3,3,3,5,4,2,4,2,3,2,4,2,4,1,5,4,2,5,2,4,1,4,1,5,4,2,5,2,3,4,3,2,3,4,4,2,5,2,4,1,4,3,4,18,US,1,2,1,3,5
10,2,3,4,2,4,1,5,1,4,3,3,3,4,3,4,1,5,3,3,3,1,5,5,2,5,1,4,1,4,1,5,3,3,5,3,2,5,3,3,4,5,5,3,5,3,4,1,3,5,4,17,IT,2,2,1,3,1
11,4,4,4,2,2,5,5,2,5,4,3,4,3,4,3,3,5,3,3,3,3,3,3,5,3,3,3,2,4,3,1,4,5,3,3,2,3,2,3,2,3,5,1,4,1,4,5,4,3,4,15,IN,2,1,1,13,1
12,1,4,4,1,5,1,5,2,4,5,4,4,2,4,2,3,4,4,1,5,3,3,3,4,2,4,2,2,3,4,3,3,3,3,3,2,2,4,4,2,3,4,2,4,2,3,2,3,3,5,22,US,1,2,1,13,2
13,1,2,1,1,4,2,3,5,4,4,5,4,2,5,1,3,2,5,2,4,1,5,3,2,5,1,1,1,5,1,5,3,3,5,2,5,5,3,2,5,3,4,1,3,3,4,1,4,3,5,21,US,1,2,1,3,5
14,1,4,4,2,4,2,4,2,4,3,4,4,2,4,2,4,2,4,2,4,3,5,3,3,4,3,2,2,4,3,2,2,4,4,4,4,4,2,2,3,3,4,2,4,3,4,2,4,2,4,28,US,2,2,1,3,2
15,4,2,2,4,2,5,2,5,2,1,4,5,2,4,1,3,2,4,1,4,2,4,3,2,3,3,1,1,3,4,2,2,4,2,4,1,2,2,2,2,4,5,1,5,1,5,1,4,4,5,21,US,1,1,1,3,5
16,4,1,2,3,1,4,1,5,3,1,4,5,3,5,2,2,4,3,1,3,1,4,3,2,4,2,4,1,4,3,4,3,2,3,2,1,3,1,2,2,5,4,1,4,1,4,1,5,5,5,19,FR,1,2,1,13,2
17,1,3,5,2,5,2,5,1,5,5,3,3,4,3,3,1,1,3,3,4,4,1,1,5,2,5,1,5,3,5,5,2,2,5,2,3,3,3,3,4,3,3,1,3,3,3,3,5,4,3,21,US,1,2,1,3,5
18,2,3,2,2,2,2,5,2,4,2,4,4,1,5,1,4,2,5,1,5,2,5,3,4,3,1,4,1,4,1,4,2,2,5,2,1,4,2,2,2,4,2,1,4,2,4,2,5,3,2,26,GB,1,2,3,3,5
19,1,4,3,2,4,3,2,3,3,4,1,2,2,5,2,2,1,4,2,2,2,3,2,3,3,3,3,1,3,3,4,4,4,3,1,3,2,2,2,4,4,4,2,5,2,2,1,5,3,4,26,US,1,2,1,3,1
20,4,3,5,1,5,2,4,1,4,5,2,5,3,4,5,3,4,2,1,1,1,3,4,2,5,3,4,2,4,3,4,2,4,4,4,4,4,5,5,4,5,4,3,5,2,4,1,4,3,4,19,LT,2,2,1,13,1
21,2,3,4,3,3,1,2,2,4,2,4,4,3,5,1,4,2,4,1,3,2,3,3,4,2,4,1,3,4,2,1,2,2,2,3,2,1,2,1,2,5,4,1,4,1,4,1,5,4,4,29,US,2,2,1,11,1
22,1,3,4,1,4,2,4,3,5,4,4,4,2,4,2,4,1,5,2,4,2,4,3,1,4,2,4,1,3,3,3,3,3,5,2,3,3,4,3,3,4,3,2,5,3,4,2,3,4,5,29,US,1,2,1,3,2
23,1,3,4,2,4,2,5,2,4,4,3,3,4,5,3,2,4,3,2,4,3,3,3,4,3,4,3,3,3,4,3,2,4,3,5,3,2,2,2,2,3,3,2,4,2,4,2,5,2,5,21,CA,1,1,2,3,2
24,1,4,4,1,5,3,3,3,3,4,3,4,5,4,3,1,5,4,4,2,3,5,4,4,4,2,3,3,3,4,4,3,4,4,3,2,2,3,2,1,4,4,3,4,4,4,2,4,4,5,52,US,1,2,1,3,1
25,5,4,4,1,5,1,3,1,4,5,4,4,1,5,2,1,4,3,1,2,1,5,3,2,4,2,3,3,2,2,5,3,4,4,3,2,3,1,1,3,3,5,5,5,1,4,1,5,3,3,19,GR,2,2,1,3,1
26,4,5,5,4,4,4,4,1,2,4,2,5,5,2,5,1,5,3,3,5,5,2,5,4,1,5,1,5,1,5,3,2,4,4,5,3,3,4,3,3,4,5,1,5,1,5,1,4,4,2,48,US,1,1,1,3,2
27,1,3,2,1,3,2,4,2,4,4,3,2,3,3,3,4,3,3,3,3,3,4,3,4,3,2,2,3,4,2,4,2,3,4,3,2,2,3,3,2,2,3,3,4,3,3,2,3,2,4,22,US,1,1,1,3,4
28,3,3,5,5,4,1,5,1,4,2,2,1,5,3,4,1,2,2,5,3,2,5,4,3,4,2,2,4,5,1,5,4,4,5,1,3,4,5,4,4,4,5,3,3,1,4,2,3,3,5,17,US,1,2,1,1,1
29,1,4,4,3,4,3,3,2,4,4,4,4,1,4,2,4,1,2,3,2,3,4,3,3,3,2,2,4,2,3,1,1,3,4,5,2,3,1,1,2,3,3,2,4,3,4,2,4,3,4,37,DK,2,1,1,3,3
30,2,4,5,4,5,2,5,2,4,5,1,3,1,3,5,1,4,3,1,1,4,5,2,1,5,4,1,3,3,1,4,4,4,5,2,2,4,4,3,4,3,5,3,5,3,3,1,3,3,3,19,US,1,2,1,1,1
31,2,5,3,2,4,3,3,3,4,5,3,3,4,5,3,2,2,3,3,3,2,4,3,3,4,3,2,4,5,2,5,3,3,5,2,2,2,3,2,3,4,5,1,5,1,4,2,5,3,5,22,US,1,2,1,3,1
32,2,4,4,3,4,2,3,2,4,4,4,4,3,4,3,4,2,4,2,4,4,2,2,4,2,4,2,4,2,4,2,2,4,4,4,2,2,2,2,2,3,4,2,2,2,4,2,4,3,4,25,US,1,1,2,3,4
33,1,4,5,4,4,1,5,1,5,5,2,1,5,1,4,1,5,1,1,1,5,3,2,4,1,5,1,5,1,5,4,4,3,4,1,1,4,5,5,4,5,4,1,4,1,4,1,4,5,5,20,US,1,2,1,3,1
34,4,3,3,3,3,3,5,5,3,3,2,3,5,3,5,1,4,3,5,2,1,5,4,3,4,3,3,1,5,1,3,4,3,4,3,1,3,4,2,4,2,3,3,4,3,2,3,3,1,3,15,GB,1,2,2,3,1
35,1,3,3,1,5,3,4,4,2,5,5,5,2,5,1,2,1,5,1,4,1,3,2,3,3,3,1,1,4,2,4,5,2,5,1,4,5,4,4,3,5,3,1,4,3,3,2,5,5,5,46,US,1,2,2,3,3
36,1,1,5,4,5,2,5,2,5,5,5,5,1,5,5,2,2,5,2,2,1,5,5,2,5,2,2,2,3,4,1,4,4,4,2,2,2,2,2,2,5,5,4,5,1,5,1,5,5,2,15,GB,1,1,1,3,1
37,1,5,4,1,4,1,4,2,4,4,4,3,1,4,3,2,2,3,2,4,2,3,3,3,3,4,1,1,3,1,2,4,4,3,2,3,2,4,3,2,5,5,1,5,1,4,1,4,4,4,18,US,1,2,2,3,2
38,4,2,3,2,3,2,3,3,2,3,3,4,5,3,4,1,5,2,3,2,2,5,4,2,4,2,3,3,4,2,3,2,4,3,3,3,2,2,1,3,5,4,1,3,1,5,2,4,5,5,42,US,1,1,1,3,3
39,1,3,4,2,4,2,4,1,4,4,4,3,2,5,2,5,2,4,2,4,1,5,2,2,4,2,2,1,4,2,3,2,4,5,3,4,2,3,2,3,4,4,2,4,2,3,2,4,4,4,27,US,1,2,1,3,1
40,5,5,1,5,1,5,5,5,1,1,5,1,1,5,1,5,1,5,1,1,5,1,1,1,1,5,1,5,1,5,1,1,5,1,5,1,1,1,1,1,5,5,1,5,1,5,1,5,5,5,17,US,1,1,1,1,1
41,2,3,5,2,4,2,5,2,5,3,4,3,1,4,5,5,2,5,1,4,4,5,2,3,3,3,2,5,3,5,5,2,2,5,4,5,5,5,3,5,2,2,2,1,1,3,1,4,4,5,17,US,1,2,1,8,5
42,3,3,3,2,4,3,4,3,3,3,4,3,2,5,3,2,3,4,3,2,2,5,3,2,4,2,2,2,4,3,3,3,3,4,3,4,3,4,2,4,3,5,3,4,3,4,2,4,2,4,17,US,1,2,1,6,5
43,1,5,5,5,5,5,4,1,4,5,5,4,1,5,2,5,1,5,1,5,3,1,1,5,1,5,1,5,1,5,2,5,2,5,1,5,4,5,4,5,4,5,2,4,2,5,1,5,2,5,60,US,1,2,1,13,5
44,1,5,5,1,5,1,5,1,5,5,5,4,4,4,3,2,4,3,2,4,1,5,3,4,5,3,3,3,5,1,4,4,2,5,3,4,5,4,4,3,4,2,3,5,4,3,1,5,4,5,27,CA,1,2,1,3,2
45,1,4,4,2,4,2,3,1,3,5,5,5,3,3,3,4,3,5,1,5,4,3,2,4,3,5,2,5,2,5,5,4,2,4,2,4,3,3,3,3,5,5,2,4,2,5,1,4,4,4,19,US,1,2,1,3,2
46,4,3,3,4,2,3,2,4,3,3,3,4,3,4,2,2,3,3,3,2,1,5,5,2,5,2,3,1,4,2,3,3,4,3,3,2,2,2,2,4,4,3,3,5,3,3,2,3,3,4,20,US,1,1,1,3,1
47,5,5,5,1,4,1,4,2,4,4,5,5,1,5,1,5,1,4,1,5,2,1,3,5,2,5,2,3,2,5,1,3,2,2,3,1,1,1,1,1,4,4,2,3,1,4,1,5,1,5,19,IN,1,1,1,4,1
48,4,3,3,1,4,3,5,2,4,4,1,2,4,2,5,1,5,3,5,3,1,5,5,1,5,1,5,1,5,1,5,5,2,5,1,5,5,5,5,4,5,4,2,5,1,4,1,2,5,5,26,US,2,2,1,13,1
49,4,2,3,5,4,1,5,3,3,3,4,3,5,4,4,1,4,3,4,2,1,4,2,3,5,4,1,1,3,4,4,3,3,5,3,4,4,4,4,5,4,5,2,5,2,5,3,5,4,4,24,MX,2,1,1,6,1
50,2,2,4,3,5,2,4,2,3,4,4,4,3,5,4,2,4,5,2,4,1,5,4,2,4,1,2,1,4,2,5,3,2,5,2,2,4,5,4,3,4,4,3,4,3,3,2,4,3,4,19,US,1,2,2,3,1
51,3,3,2,3,2,3,5,3,3,3,1,4,5,3,5,3,5,3,5,2,2,5,3,2,5,2,1,1,3,5,5,5,2,5,2,5,5,5,5,5,5,5,3,5,4,5,1,4,5,5,18,GB,1,2,1,3,5
52,4,2,4,4,2,2,3,1,3,3,2,3,3,5,3,1,5,2,3,2,2,4,2,2,2,4,1,2,2,2,4,2,3,4,2,3,5,4,4,4,5,5,2,4,2,4,2,3,4,5,14,US,1,2,1,3,1
53,1,5,5,1,5,2,4,1,2,5,5,4,1,4,1,5,1,2,1,4,2,3,1,4,2,4,1,1,4,2,5,2,3,2,2,2,2,1,1,2,3,4,2,1,2,2,1,4,1,4,25,IN,2,2,1,13,1
54,2,3,5,2,2,5,4,3,3,1,5,4,4,4,1,3,1,5,1,4,4,4,1,3,1,2,1,4,4,4,4,3,3,4,3,2,3,4,3,3,5,5,1,4,1,5,1,4,5,3,47,US,1,1,1,3,1
55,2,3,2,2,4,3,2,4,2,4,3,4,4,3,3,2,3,3,4,2,2,4,4,2,4,2,4,2,4,2,4,4,3,4,1,2,4,3,3,4,4,3,4,4,4,3,3,4,3,4,18,US,1,1,1,3,5
56,4,3,4,4,2,3,5,1,4,1,4,3,3,5,3,1,3,4,3,5,2,5,1,4,2,2,4,5,5,2,5,4,2,5,3,5,5,5,4,4,3,4,3,5,4,4,1,3,4,4,23,SE,2,1,2,3,1
57,1,2,4,2,3,1,4,1,2,2,2,3,4,3,4,1,5,3,5,2,2,4,2,2,2,2,1,1,2,4,5,3,3,4,2,4,3,4,3,4,4,2,2,3,2,3,2,4,4,2,14,GB,1,3,1,3,1
58,1,3,5,1,5,1,4,1,4,5,4,2,2,2,2,2,1,4,2,4,1,5,4,2,5,1,2,1,5,1,5,2,2,5,2,4,4,2,2,4,5,4,1,5,3,4,1,5,4,5,20,US,1,2,1,3,1
59,1,5,5,1,5,1,5,1,3,5,2,3,1,5,4,1,1,5,2,5,4,1,1,5,3,5,1,1,1,4,5,2,2,5,4,4,5,2,2,4,5,5,1,5,4,5,1,5,5,2,35,US,1,2,2,5,1
60,1,4,5,2,5,1,5,1,5,4,4,4,2,4,1,4,1,5,1,4,4,2,1,4,2,5,2,5,2,4,2,3,3,4,2,2,3,4,2,2,3,3,2,4,1,3,2,3,3,5,34,US,1,2,1,3,1
61,5,5,5,5,5,1,5,1,5,5,4,5,5,5,1,4,5,5,1,2,5,1,5,5,5,5,5,5,2,5,5,2,1,5,5,5,5,5,5,5,1,3,5,5,2,5,1,2,1,5,36,JO,2,2,1,13,1
62,3,2,4,4,4,3,3,3,3,3,3,3,4,4,4,1,5,4,4,2,3,4,3,3,5,2,3,3,4,4,4,4,4,4,2,3,4,4,4,4,4,4,5,5,3,3,2,2,4,4,15,US,1,1,1,3,1
63,1,4,5,1,5,5,5,1,5,5,4,4,5,5,2,1,5,4,3,3,4,2,3,4,2,4,2,4,2,4,1,2,5,2,3,2,2,2,2,2,5,4,1,3,1,4,3,4,3,5,20,US,1,1,1,3,1
64,2,5,3,1,3,3,4,3,4,3,4,5,2,5,1,5,5,4,1,4,2,4,3,4,3,2,2,2,4,2,3,1,4,3,5,1,1,1,1,2,3,5,3,5,2,5,1,4,2,4,54,CA,1,2,1,3,1
65,4,4,4,1,5,1,5,2,5,4,2,3,2,3,4,2,4,3,2,2,2,3,4,5,2,4,4,4,2,2,3,2,3,4,2,4,2,4,1,2,3,4,2,4,2,5,2,5,2,5,47,US,2,1,1,3,5
66,4,5,5,4,5,2,5,4,5,5,3,4,2,5,5,2,4,3,3,3,3,5,5,4,4,3,4,2,5,4,5,4,4,5,3,4,5,5,5,4,3,3,3,5,3,3,4,3,4,5,17,IN,2,1,1,4,1
67,1,5,3,1,5,2,5,2,5,5,4,5,1,5,1,5,1,5,1,5,4,3,4,4,2,3,2,4,4,5,2,2,4,4,4,1,2,1,1,2,4,3,1,4,1,5,4,5,1,5,45,US,2,1,1,11,1
68,1,2,4,3,4,1,4,2,5,4,4,5,1,5,1,4,5,5,3,5,2,2,2,5,2,4,3,2,5,1,5,4,1,5,2,4,4,5,5,4,4,2,4,2,2,3,2,4,4,2,32,US,1,2,1,3,2
69,1,4,5,2,5,1,2,1,5,5,2,4,4,4,2,3,4,2,3,1,3,2,1,5,2,5,1,3,3,3,3,3,4,4,3,3,3,4,3,3,3,3,2,4,1,4,3,4,4,5,23,NO,2,2,1,3,2
70,2,5,5,1,5,2,4,1,3,4,3,4,3,4,2,2,3,3,2,3,4,4,1,4,2,4,1,2,2,5,4,1,2,5,5,1,2,2,1,1,3,4,2,4,2,4,1,4,3,2,23,US,1,2,1,11,1
71,1,3,3,1,5,2,5,2,4,4,4,4,3,3,4,3,4,5,2,5,1,5,2,2,5,4,1,1,2,2,5,5,1,5,1,5,5,5,3,5,4,5,2,5,2,2,1,4,5,4,14,US,1,2,1,3,1
72,3,3,4,3,5,2,4,1,4,4,3,2,5,3,3,1,5,4,4,2,5,5,2,2,3,2,2,5,5,3,4,3,5,5,2,4,3,3,2,3,4,4,1,5,1,4,1,5,4,5,19,IE,1,1,1,3,1
73,2,3,5,1,5,1,3,1,4,4,3,4,5,3,5,1,5,3,3,3,1,5,4,2,4,3,5,3,5,2,5,1,3,5,3,2,5,5,5,4,2,3,3,4,2,4,3,3,3,5,15,NZ,1,2,1,3,1
74,3,4,4,2,4,4,4,2,3,3,2,2,5,3,4,1,5,3,4,2,3,2,2,4,4,5,2,4,4,2,4,2,4,4,4,3,2,2,2,4,5,4,1,4,1,4,2,5,5,5,49,FI,2,2,1,3,1
75,2,5,4,1,4,2,5,1,4,4,3,5,4,5,2,1,4,4,1,3,1,5,5,2,5,1,5,1,4,2,5,5,2,3,1,2,4,3,3,2,3,5,3,5,2,5,1,5,3,5,47,US,1,2,2,5,2
76,1,5,5,1,5,1,5,1,3,5,4,4,4,5,1,1,2,4,1,3,3,5,4,4,3,4,1,1,5,1,5,3,4,5,3,4,5,3,1,5,5,3,4,3,4,2,2,4,4,4,23,BE,2,2,1,3,2
77,3,2,2,5,2,3,3,4,2,2,4,4,2,5,3,2,2,4,4,4,1,4,5,2,5,2,2,1,5,1,5,5,1,5,1,5,4,2,2,4,4,4,3,5,3,4,1,4,4,4,19,FI,2,2,1,3,1
78,1,3,5,4,4,1,4,2,5,4,5,5,2,4,2,4,1,5,1,5,3,5,2,1,3,5,2,1,5,2,4,3,3,5,3,4,3,3,3,5,5,4,4,3,2,4,3,4,5,4,36,US,1,1,1,3,1
79,1,3,5,2,5,1,4,1,5,5,4,3,5,2,5,2,5,4,3,2,2,4,3,4,2,4,1,4,4,4,5,5,1,5,1,1,5,5,4,3,4,4,2,5,2,4,1,5,4,5,21,GB,1,2,1,3,1
80,1,3,5,5,5,1,3,1,5,5,3,5,5,5,5,1,5,4,1,5,3,5,1,3,1,5,1,1,2,3,5,5,1,5,2,4,5,4,4,5,5,5,1,5,1,4,1,5,5,5,21,BE,2,2,1,3,1
81,2,4,2,4,3,2,3,4,3,3,3,3,3,4,4,3,4,3,3,3,3,4,4,3,3,3,5,2,5,3,5,5,4,5,1,4,5,5,5,5,4,3,1,4,1,2,2,4,4,5,13,GB,1,1,1,3,1
82,1,4,3,3,4,2,5,2,4,4,3,3,1,4,1,4,1,5,3,3,3,3,3,3,1,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,4,2,4,3,4,3,4,2,3,21,US,2,2,1,13,5
83,3,5,4,2,4,1,4,2,4,4,5,3,1,5,2,3,1,2,2,5,4,1,2,5,3,5,1,4,1,5,1,2,3,3,3,2,1,1,1,1,5,3,2,3,3,3,1,5,2,3,32,HR,2,1,1,3,1
84,1,5,5,1,5,1,4,1,1,5,3,3,2,4,2,4,1,4,1,4,4,2,1,5,2,5,1,5,1,5,3,2,4,4,3,2,3,2,3,3,4,5,2,5,2,5,1,5,4,4,33,US,1,2,1,3,1
85,4,4,4,2,4,2,4,2,4,2,4,4,3,4,2,4,2,4,2,4,3,2,2,4,2,4,2,4,2,4,2,2,4,2,4,2,4,2,2,2,4,4,2,4,3,4,2,4,4,4,33,US,1,1,1,3,1
86,4,2,3,4,4,3,4,4,3,3,2,3,2,3,4,3,3,4,4,3,2,5,2,2,3,2,2,5,3,3,3,5,3,4,1,2,4,3,3,4,5,3,2,5,2,2,1,4,3,4,16,GB,1,1,1,3,1
87,3,4,1,1,4,3,3,4,3,4,3,4,3,5,3,2,5,4,3,2,3,4,2,2,2,4,3,4,4,4,4,4,3,5,2,2,3,4,4,3,4,4,1,5,1,4,1,5,4,4,21,BE,2,2,1,3,1
88,1,3,3,1,4,2,3,2,3,3,3,4,1,2,1,5,2,4,3,2,3,2,3,5,2,5,1,2,3,3,1,3,5,2,1,1,2,1,1,3,3,5,4,3,3,3,4,5,1,4,31,NO,2,2,1,3,5
89,1,4,5,1,5,1,3,1,5,4,1,3,4,5,1,1,5,1,3,1,1,5,5,1,5,1,4,1,5,3,4,1,3,5,1,4,3,1,1,1,5,5,1,5,1,5,1,4,5,5,17,US,1,1,1,3,1
90,1,4,4,2,5,1,4,2,3,4,3,4,2,4,3,4,2,5,3,4,2,5,3,3,3,3,2,2,3,2,3,2,3,3,3,3,3,3,2,3,5,2,2,2,2,2,4,4,4,4,26,GB,1,2,1,3,5
91,1,5,5,1,5,1,5,1,5,5,4,5,5,5,3,1,4,2,2,4,4,3,2,3,2,4,1,2,3,3,5,5,4,5,1,4,4,3,3,3,5,5,1,5,1,5,1,5,5,5,34,BE,2,1,1,3,1
92,1,3,5,1,3,1,3,1,5,3,5,5,1,5,1,5,1,5,1,5,1,3,1,5,3,5,1,1,5,1,1,1,3,3,1,1,1,1,1,1,3,4,1,4,1,4,5,5,2,5,21,ZA,1,2,1,1,1
93,4,4,5,1,2,4,4,2,5,4,4,4,3,4,3,4,3,3,3,4,5,4,3,5,2,3,1,5,2,4,1,1,5,1,5,5,1,2,2,5,4,4,2,4,2,4,1,5,3,4,26,US,2,2,1,3,2
94,2,5,3,4,3,3,3,3,4,2,5,3,5,4,3,2,2,3,3,2,2,4,3,3,4,4,2,3,2,4,1,1,4,2,4,1,1,2,1,1,5,3,3,4,4,4,2,3,4,4,22,NO,2,2,1,3,1
95,1,3,4,2,5,2,5,1,3,4,2,2,2,4,3,2,3,4,2,2,1,5,4,2,2,2,3,1,3,2,5,5,2,5,1,4,4,4,4,3,4,3,3,4,1,1,2,3,3,4,19,NO,2,2,1,3,1
96,3,3,4,5,4,3,3,3,4,3,3,2,3,3,5,1,4,1,3,2,4,4,4,2,4,2,4,2,5,1,2,3,4,2,3,3,3,4,3,4,4,3,2,4,2,3,2,4,4,4,19,FI,2,1,1,3,1
97,2,4,5,3,5,1,3,1,5,5,3,4,5,4,4,1,4,3,2,3,4,5,1,5,1,5,1,5,5,3,3,2,4,3,3,2,4,4,2,4,4,5,1,5,1,5,1,5,4,5,21,US,1,2,1,1,1
98,1,5,5,1,4,1,3,1,5,4,4,5,3,5,1,5,1,4,3,5,3,2,1,5,3,4,1,4,2,4,3,1,5,3,1,2,1,1,1,1,5,5,1,4,1,4,1,4,2,5,49,BE,2,1,1,3,1
99,2,5,5,2,5,2,5,2,5,5,4,4,2,5,2,4,3,4,2,4,3,4,3,4,4,5,2,5,4,3,4,3,3,4,2,2,3,3,2,2,3,5,1,5,1,5,1,5,3,5,18,US,1,2,1,3,1
100,3,3,3,2,4,1,5,1,4,4,4,2,3,3,4,1,4,1,2,4,1,4,3,2,4,1,1,1,4,3,4,2,3,4,3,4,4,4,4,4,2,2,3,3,3,4,4,4,2,3,32,US,1,2,1,3,4
101,1,5,5,1,5,1,4,1,5,5,2,5,4,5,4,1,1,5,1,5,1,4,4,5,3,5,3,3,5,1,4,2,3,4,1,5,4,2,2,4,5,5,1,5,1,5,1,5,5,5,60,US,1,2,1,3,1
102,1,5,4,4,4,1,5,2,4,5,2,3,4,4,3,1,5,3,3,2,1,4,3,2,4,3,2,1,4,2,5,4,2,5,1,4,5,4,4,3,5,3,3,5,3,3,1,5,5,4,22,IE,1,2,1,3,1
103,1,3,2,1,1,1,2,5,3,1,4,4,1,4,1,2,2,5,3,4,1,5,5,1,5,2,5,1,5,1,2,3,5,2,3,2,2,2,3,1,4,4,1,3,4,3,1,5,4,2,24,PL,1,1,1,3,1
104,1,3,5,2,5,3,5,1,4,3,3,5,2,3,4,2,4,5,3,4,2,5,2,3,3,3,1,2,2,2,3,2,4,4,4,1,2,2,2,2,4,5,1,4,1,4,1,4,2,5,16,BR,2,2,2,6,1
105,3,3,3,3,2,4,3,3,3,4,3,4,3,3,3,2,4,2,4,2,2,4,4,2,3,3,2,2,4,4,4,3,3,4,2,3,3,4,4,3,4,4,1,4,1,4,1,4,3,4,20,SK,2,1,1,3,1
106,1,4,4,1,4,2,4,2,3,4,2,3,2,3,2,3,2,3,2,3,3,3,2,3,3,3,3,2,2,2,2,2,3,3,3,2,2,2,2,2,3,4,2,4,2,5,1,4,2,3,47,US,1,2,1,1,2
107,2,3,3,5,3,2,3,2,3,3,4,3,5,4,4,1,4,2,4,4,2,4,1,2,2,3,2,2,5,2,5,3,4,4,2,5,2,4,4,5,3,3,2,3,3,2,3,5,4,4,15,US,1,2,1,3,1
108,4,3,2,1,2,4,4,3,2,2,3,2,5,4,1,1,1,3,3,1,1,5,3,3,5,3,5,1,5,1,4,4,5,5,1,2,3,5,4,4,1,1,1,3,5,1,5,3,1,5,17,US,1,2,1,13,1
109,5,5,5,1,5,1,5,1,5,5,5,5,5,5,1,5,1,5,1,5,5,1,1,5,5,5,1,5,1,5,1,1,1,1,1,1,1,1,1,1,5,5,1,5,1,5,1,5,5,1,13,US,1,2,3,13,1
110,2,3,5,2,2,4,5,2,4,2,5,5,4,2,3,1,5,5,3,4,4,5,4,1,5,2,4,1,5,4,5,4,1,5,4,4,2,4,3,5,4,3,2,5,3,4,2,5,2,5,16,HR,2,2,1,3,1
111,2,4,3,1,2,3,3,2,3,2,4,4,1,2,4,3,3,1,3,1,1,5,4,2,2,4,4,4,5,1,3,3,5,2,3,2,2,5,4,2,2,3,4,3,3,4,2,3,3,5,23,SA,2,2,1,5,1
112,1,5,5,1,5,1,5,1,5,5,4,2,4,3,4,3,5,2,1,3,5,2,2,5,1,5,1,5,1,5,3,1,4,3,4,1,1,3,2,2,3,5,2,4,1,5,1,4,3,4,30,US,1,2,1,3,1
113,2,4,5,5,4,1,5,2,5,4,1,4,5,4,4,1,5,3,4,4,3,2,1,4,1,5,1,3,1,5,4,2,2,5,2,2,2,4,2,5,3,5,2,5,1,5,1,4,2,5,17,US,1,2,1,3,1
114,1,4,4,2,4,1,4,2,4,5,4,3,2,3,3,3,3,3,2,4,2,4,3,3,4,3,3,2,4,2,4,3,3,4,3,2,3,3,3,4,3,3,2,4,2,3,2,3,2,4,20,US,1,2,1,6,2
115,2,2,4,2,4,2,2,2,2,4,4,3,2,4,4,1,2,4,2,4,2,5,2,2,4,4,2,1,2,4,4,4,3,5,2,1,4,2,4,4,5,4,1,5,1,4,1,4,5,5,25,US,1,1,1,3,1
116,4,4,3,3,2,4,2,4,1,4,4,4,3,4,3,3,3,3,3,2,4,1,1,4,1,4,1,4,1,5,4,2,2,3,4,4,3,4,4,4,5,5,1,5,1,5,1,4,5,4,27,BR,2,1,1,3,1
117,2,3,4,1,4,3,2,2,4,3,5,5,1,5,1,5,1,5,1,5,1,4,4,2,5,2,4,1,5,2,4,4,3,4,1,3,2,3,2,2,5,3,2,4,2,4,2,4,4,5,25,US,1,2,1,3,1
